,medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
929,F8A229F4C6A7E9C28A49C5D584A52760,B0078FA4E4571F9A3E219B1DCB4566EF,VTS,1,,12/04/2013 23:26,12/04/2013 23:31,1,300,1.4,-73.964684,40.775681,-73.976318,40.778915
930,7AA54A6B915FAE07DE72982EF2EC0E8E,35C09ED1E3BAF03781A2C08ABD039EF5,VTS,1,,12/04/2013 23:24,12/04/2013 23:31,3,420,2.61,-73.94191,40.754601,-73.95356,40.766983
931,FE2C9B033BB693BC7CD7EF9521B31DE8,20A6104460E432AB386C441E4746CB9C,VTS,1,,12/04/2013 23:26,12/04/2013 23:32,1,360,1.34,-74.004494,40.706951,-73.989677,40.718975
932,72798E6FC08F7852E7BB059887369FF1,B777A4CF44406E42B517BC605E34A910,VTS,1,,12/04/2013 23:16,12/04/2013 23:29,2,780,2.18,-74.002815,40.723267,-73.992821,40.742947
933,D2210CB34CCC9E8BB79808BF17C650C2,EEC8C7E79C3120D32FDDD4B9D8C7FB7D,VTS,1,,12/04/2013 23:23,12/04/2013 23:31,1,480,1.32,-73.983658,40.755119,-73.969246,40.751644
934,0DA6AF03BF924F21C22BE75217246DEA,DFD31354BD5353A464389ED0941D121E,VTS,1,,12/04/2013 23:12,12/04/2013 23:32,1,1200,3.24,-73.974228,40.756729,-73.997002,40.722366
935,75FC48DEAAAFCF2B788AAFAEADA90955,3E8783B29ABF15A4F5B475D928D2A7BD,VTS,1,,12/04/2013 23:23,12/04/2013 23:29,1,360,0.62,-73.987854,40.721146,-73.992264,40.725346
936,90D9BB5550B36A865858C5DB1B80A474,1EF515224D19435007B8632B399679A5,VTS,1,,12/04/2013 23:24,12/04/2013 23:32,5,480,1.66,-73.989952,40.718941,-73.98616,40.73077
937,C1E9A5BC98CD95ECF5650388F85A65D3,ACD9FAB9B4C08B5319C46F3ABFFEF1EE,VTS,1,,12/04/2013 23:15,12/04/2013 23:32,2,1020,2.38,-73.97657,40.762581,-74.001045,40.739117
938,647E33016ADAD0E4DAC3D659FC82320B,9185CC39562D96646192AD3F16288DC4,VTS,1,,12/04/2013 23:13,12/04/2013 23:30,1,1020,3.85,-73.983856,40.743275,-73.984756,40.78265
939,434641E8B8D4CE637FD42A3B856A1849,F057BB2EFE522A7E29FF7A569FC64686,VTS,1,,12/04/2013 23:01,12/04/2013 23:09,2,480,1.22,-73.989288,40.763725,-73.97084,40.755886
940,F4D7807C04001DEAA39C8F2E24987FAC,9F9FA501AB140E4EE39F64D2F7781E47,VTS,1,,12/04/2013 23:21,12/04/2013 23:31,1,600,3.32,-73.967278,40.766121,-73.933403,40.763435
941,ED9B774735449ABBE4FE4062765C21CF,43642DE3866FA9B464AC30BEDB5F98F8,VTS,1,,12/04/2013 23:30,12/04/2013 23:33,3,180,0.63,-73.992607,40.763538,-73.985802,40.767906
942,554F305D486DD84EF2409777CE5D9F1A,FF5ACF4EABD331287DA9C9251F8DE92E,VTS,1,,12/04/2013 23:13,12/04/2013 23:31,1,1080,4.8,-73.974075,40.731178,-73.935638,40.711273
943,7B3CA0F2574FA2F444E7E5858BCA75A9,95B8F42CF95F00F247A1227D41627E9F,VTS,1,,12/04/2013 23:26,12/04/2013 23:31,1,300,1.13,-73.991898,40.725796,-73.981384,40.737793
944,D48D69FD5C6825DADA3B3BBA8988C961,0DD3283E81DE2424DF3491598CC50517,VTS,1,,12/04/2013 21:18,12/04/2013 21:28,2,600,1.8,-73.985153,40.745049,-74.006638,40.740559
945,226414FC1FEA5ECDF68B56F6792CDC0B,6C3F884A17DFFD3FE1DB6261008AC8A4,VTS,1,,12/04/2013 20:59,12/04/2013 21:27,1,1680,8.4,-73.95993,40.813721,-73.995667,40.718685
946,8853EBAA8F2483A858AAB903B4C5DBF5,73B7E7E9F8D206BCC975B47EC92B34D8,VTS,1,,12/04/2013 21:19,12/04/2013 21:26,2,420,1.24,-74.001595,40.730862,-73.98983,40.744251
947,6FC85A1A4C9E9824D0D1A10532166A81,F83A6C49D423DA3266BB1268FCE4E568,VTS,1,,12/04/2013 21:14,12/04/2013 21:28,1,840,2.42,-73.968422,40.761978,-73.995613,40.74416
948,0B8862989540F861B02ECE84C6AB0537,FCC9C532C82403D5369FC95336E99EF6,VTS,1,,12/04/2013 20:58,12/04/2013 21:26,1,1680,11.62,-73.992851,40.749016,-73.999374,40.629372
949,E6B521B1B859E2332125397D6CB6567E,2A659DF41745AEED6AAE562985C782AD,VTS,1,,12/04/2013 21:20,12/04/2013 21:26,5,360,1.06,-73.981606,40.758343,-73.970032,40.760273
950,7EE719A9107FC17B652223C1F6A91C9B,198889637F97F18AB7C53C8EC4266E11,VTS,1,,12/04/2013 21:14,12/04/2013 21:26,1,720,1.98,-73.981606,40.737217,-74.008186,40.738064
951,7FDEB279D31CE6E5AF16203871B07AAC,38F87C687DEBFDC7E53041292C5EFE0D,VTS,1,,12/04/2013 21:20,12/04/2013 21:26,1,360,1.28,-73.990753,40.740028,-73.988892,40.726887
952,95B64FA5AA320202EDBB357C19FAD3B9,17FA7D845ADB13C658E5CCAE06AA680E,VTS,1,,12/04/2013 21:20,12/04/2013 21:26,5,360,1.51,-73.982475,40.76741,-73.970627,40.785954
953,0E4FF1B092A65BCC95107FC1AAE5BEC6,05E09992D5B4DAF1D8D277EC745CAB05,VTS,1,,12/04/2013 21:14,12/04/2013 21:26,1,720,2.32,-73.997482,40.741535,-73.998474,40.713123
954,6AF1B398D6B518C8BC9FFAC02FA05213,9205B7C1283D668497C105817E9A090D,VTS,1,,12/04/2013 21:11,12/04/2013 21:26,2,900,3.4,-73.980576,40.760319,-73.988693,40.724243
955,C23F77A60029CA5EDB54ED9D5F313BF6,16F31610E8D2CFAD2ABDE69B2A2504AD,VTS,1,,12/04/2013 21:13,12/04/2013 21:28,1,900,3.89,-73.943748,40.788719,-73.985085,40.753792
956,9C34910D26A3CBBC48D309CEA303A1B7,D05DEF3DD93BBCF5D596476C8C18A138,VTS,1,,12/04/2013 21:21,12/04/2013 21:29,6,480,1.66,-73.982277,40.745258,-73.979607,40.728249
957,94EC93A6126179AF6FF8738E28A263D2,FA9BCE22C795FA45076E57DF76B32507,VTS,1,,12/04/2013 21:21,12/04/2013 21:27,6,360,1.3,-73.946487,40.776783,-73.958389,40.761368
958,FEAF6C87C3422D111612942D665CA853,132BB005B8E829F27C22ED3C62AD0055,VTS,1,,12/04/2013 21:09,12/04/2013 21:28,2,1140,11.19,-73.949745,40.780563,-73.835236,40.745686
959,4BAA6E1D320513B21DD99D88D9226FDA,7095D28D6CCD667B55B0442C0C899870,VTS,1,,12/04/2013 21:16,12/04/2013 21:26,1,600,1.53,-73.97863,40.729702,-73.992622,40.741985
960,71CACFBADF9568AAE88A843DB511D172,92DF2DEB5DBC29860B9092EBA8F3A341,VTS,1,,12/04/2013 21:13,12/04/2013 21:27,1,840,1.48,-73.988861,40.737045,-74.007523,40.74102
961,8F145898D2BB467A475DC9C84E17D11D,ABE3C3F7C4B792566D79F3785AA10E21,VTS,1,,13/04/2013 0:06,13/04/2013 0:29,1,1380,13.6,-73.98513,40.687054,-73.951843,40.576752
962,740F19A0C4DEF6B9D160059F8242B2C4,1CE9492D1A646A89CAEED00BEBBBC5F2,VTS,1,,12/04/2013 23:39,13/04/2013 0:27,5,2880,24.06,-73.985725,40.743061,-73.886581,40.919964
963,144C0D2F6A4AFDAA59644AFB452F408F,51E79D77B08CC307FB688AC984373F98,VTS,1,,13/04/2013 0:19,13/04/2013 0:30,1,660,2.46,-73.991013,40.74445,-74.000031,40.761433
964,0E6B2D35258AB4AFA69A556877C62BDD,1537D8CC416F72315E80E0F8EFC98E01,VTS,1,,13/04/2013 0:29,13/04/2013 0:30,4,60,0.47,-73.979919,40.755348,-73.981995,40.750366
965,6A8D5E0EDA4E3DDEF1ED34B091CAF953,B355B0350C89ABBA6500ACBF41D80644,VTS,1,,13/04/2013 0:15,13/04/2013 0:29,1,840,6.82,-73.873466,40.773975,-73.952049,40.724121
966,E161F8E32EBDC99A81792AF72DA9B620,E67831B4F30A88806F48296969F2D023,VTS,1,,13/04/2013 0:28,13/04/2013 0:35,1,420,0.82,-73.975937,40.754669,-73.988098,40.758495
967,E5044EC4A438E0715E1C21590BC3EFF7,4277D4DA08B3AFED2D6DA076EDF6B802,VTS,1,,13/04/2013 0:21,13/04/2013 0:30,1,540,2.85,-73.97776,40.75156,-73.947899,40.778976
968,025CAAC6524CD33D752760A147C1C374,9432634CB50A11E7553A88683534FCB2,VTS,1,,13/04/2013 0:16,13/04/2013 0:26,1,600,1.55,-73.996391,40.72377,-73.987877,40.738346
969,2088AD3CCF67CA0175C6A5D2C06841A5,F981998A1D656109610977B19344FD33,VTS,1,,12/04/2013 23:08,12/04/2013 23:30,1,1320,4.85,-73.948128,40.774544,-74.000488,40.739731
970,3A62FC146F7D6152FB9596D4AF3AA164,335C365D95E7C25A24BFB7E08D6DC1BA,VTS,1,,12/04/2013 23:28,12/04/2013 23:32,1,240,0.8,-73.974548,40.746471,-73.983894,40.733574
971,07A0A68365AC8905157956356A804271,0FBB96034B01E07AC3B1DADD3B6D63B5,VTS,1,,12/04/2013 23:16,12/04/2013 23:31,1,900,3.66,-73.977173,40.746906,-73.9468,40.780624
972,014ACA98D3DDEC14F0C3B635CA4BC080,4C88F61678A89F8EA2C9004DA2749D6A,VTS,1,,12/04/2013 23:24,12/04/2013 23:29,1,300,1.09,-74.010689,40.709099,-74.011635,40.721977
